Orthogroup_ID,Connectivity,Species_Count,Water_Buffalo,Wild_Yak,Takin
3,48,0.479,XP_052495152.1,"XP_044801261.1,XP_006072892.1,XP_006072891.1,XP_006072890.1,XP_006072889.1,XP_006072888.1,XP_006072887.1,XP_006072885.1,XP_044801286.1,XP_044801283.1,XP_044801270.1,XP_044801265.1,XP_044801262.1,XP_025144632.1,XP_044801257.1,XP_044801252.1,XP_044801244.1,XP_044801239.1,XP_025144737.1,XP_025144734.1,XP_025144731.1,XP_025144727.1,XP_025144721.1,XP_025144709.1,XP_025144641.1","XP_070229975.1,XP_070230034.1,XP_070230029.1,XP_070230021.1,XP_070230019.1,XP_070230014.1,XP_070230008.1,XP_070230004.1,XP_070229998.1,XP_070229992.1,XP_070229982.1,XP_070229896.1,XP_070229968.1,XP_070229958.1,XP_070229951.1,XP_070229948.1,XP_070229939.1,XP_070229936.1,XP_070229927.1,XP_070229920.1,XP_070229912.1,XP_070229907.1"
3,48,0.194,"XP_052493517.1,XP_052493163.1,XP_052493202.1,XP_052499950.1,XP_052501103.1,XP_052506284.1,XP_052510047.1,XP_052514278.1,XP_052500032.1,XP_052503588.1,XP_052504073.1,XP_052503561.1,XP_052503587.1,XP_052503586.1,XP_052507641.1,XP_052504760.1","XP_045018273.1,XP_006045331.1,XP_006046136.1,XP_044800371.1,XP_025143731.1,XP_006049258.3,XP_044794210.1,XP_006048085.1,XP_006048071.1,XP_044794207.1,XP_044794208.1,XP_006040927.1,XP_006062028.1,XP_044804408.1,XP_044787550.2,XP_025121222.1","XP_070241508.1,XP_070245188.1,XP_005901114.2,XP_070223287.1,XP_005892274.2,XP_070216742.1,XP_070216929.1,XP_070217090.1,XP_070216920.1,XP_014332608.2,XP_005892261.2,XP_005904534.2,XP_005893954.1,XP_070229011.1,XP_070230938.1,XP_070238523.1"
3,47,0.205,"XP_052493516.1,XP_052493891.1,XP_052503563.1,XP_052503564.1,XP_052503568.1,XP_052503566.1,XP_052503573.1,XP_052504460.1,XP_052503429.1,XP_052504462.1,XP_052499423.1,XP_052503565.1,XP_052503567.1,XP_052493472.1","XP_006058485.3,XP_006049262.1,XP_025143732.1,XP_006048063.1,XP_025151956.2,XP_006048086.2,XP_006048074.1,XP_006063276.2,XP_006045702.2,XP_025151913.1,XP_045020611.1,XP_006045705.1,XP_025151963.2,XP_006048080.1,XP_025151950.1,XP_006048081.1,XP_045020609.1,XP_045020608.1,XP_044794212.1,XP_006049266.1","XP_070223288.1,XP_014332610.2,XP_005902576.1,XP_070237821.1,XP_070216925.1,XP_070216926.1,XP_070216866.1,XP_070217217.1,XP_005893955.1,XP_014332611.1,XP_005892264.2,XP_005895585.2,XP_070223285.1"
3,46,0.37,"XP_052493331.1,XP_052496282.1,XP_052503590.1,XP_052503584.1,XP_052503591.1,XP_052504122.1,XP_052504104.1","XP_025152151.3,XP_044794223.1,XP_006067791.3,XP_044794217.1,XP_025143734.1,XP_044797125.1,XP_045020613.1,XP_045020612.1,XP_044794224.2,XP_044794220.1,XP_044794222.1,XP_044794221.1,XP_006045706.1,XP_044794226.1,XP_044794218.1,XP_044794209.2,XP_025152133.1","XP_070224922.1,XP_005896914.1,XP_070216754.1,XP_070217265.1,XP_014332604.1,XP_070216921.1,XP_014332607.2,XP_014332616.1,XP_070217534.1,XP_005892275.2,XP_005891283.3,XP_070240609.1,XP_014335706.2,XP_070230876.1,XP_005903677.1,XP_005907808.2,XP_070231023.1,XP_070228797.1,XP_014332575.2,XP_005905833.1,XP_014332717.2,XP_005893406.2"
3,45,0.526,"XP_052495780.1,XP_052495777.1,XP_052495773.1,XP_052495779.1,XP_052495775.1,XP_052495778.1,XP_052495774.1,XP_052495769.1,XP_052495770.1,XP_052495771.1,XP_052495772.1,XP_052495776.1","XP_006071469.4,XP_044796830.2,XP_006071471.4,XP_006071470.4,XP_025138694.3,XP_006071468.4,XP_025138693.3,XP_006071463.4,XP_044796829.2,XP_044796828.2,XP_044796827.2,XP_044796826.2,XP_044796825.2,XP_044796824.2,XP_044796823.2,XP_006071460.4,XP_006071467.4,XP_006071473.4","XP_070227740.1,XP_070227727.1,XP_070227728.1,XP_070227729.1,XP_070227730.1,XP_070227731.1,XP_070227735.1,XP_070227734.1,XP_070227737.1,XP_070227739.1,XP_070227732.1,XP_070227736.1,XP_070227733.1,XP_070227746.1,XP_070227741.1"
3,44,0.4,"XP_052492073.1,XP_052492079.1,XP_052492078.1,XP_052492074.1,XP_052492076.1,XP_052492072.1,XP_052492068.1,XP_052492065.1,XP_052492077.1,XP_052492062.1,XP_052492069.1,XP_052492066.1,XP_052492075.1,XP_052492071.1,XP_052492067.1,XP_052492063.1,XP_052492064.1,XP_052492061.1","XP_044791420.1,XP_044791350.1,XP_025117303.2,XP_044791398.1,XP_044791411.1,XP_044791387.1,XP_044791376.1,XP_044791407.1,XP_044791413.1,XP_044791446.1,XP_044791434.1,XP_044791465.1,XP_044791457.1,XP_044791440.1,XP_044791432.1,XP_044791453.1,XP_044791430.1,XP_044791428.1,XP_044791422.1,XP_044791357.1,XP_044791356.1,XP_025117278.2,XP_044791470.1,XP_044791468.1,XP_044791456.1",XP_070246427.1
3,42,0.162,XP_052499925.1,"XP_044796942.2,XP_044796954.2,XP_044796945.2,XP_044796956.2,XP_044797026.2,XP_044796948.2,XP_044797001.2,XP_044797070.2,XP_044797065.2,XP_044796978.2,XP_044796965.2,XP_044796972.2,XP_044796968.2,XP_044796974.2,XP_044796950.2,XP_044796960.2,XP_044796988.2,XP_044797007.2,XP_044796951.2,XP_044797080.2,XP_044796996.2,XP_044796955.2,XP_044796981.2,XP_044797009.2","XP_070224596.1,XP_070224556.1,XP_070224586.1,XP_070224541.1,XP_070224547.1,XP_070224574.1,XP_070224565.1,XP_070224613.1,XP_070224605.1,XP_070224622.1,XP_070224628.1,XP_070224661.1,XP_070224636.1,XP_070224672.1,XP_070224652.1,XP_070224719.1,XP_070224577.1"
3,41,0.19,"XP_052505923.1,XP_052505921.1,XP_052505919.1,XP_052505922.1,XP_052505924.1,XP_052505926.1,XP_052505925.1","XP_044783119.1,XP_044783115.1,XP_044783117.1,XP_044783118.1,XP_044783111.1,XP_025118480.1,XP_025118481.1,XP_025118482.1,XP_025118483.1,XP_025118484.1,XP_044783113.1,XP_044783114.1,XP_044783122.1,XP_044783121.1,XP_025118490.1,XP_025118491.1,XP_044783120.1,XP_044783123.1,XP_044783124.1","XP_070236744.1,XP_070236743.1,XP_005906694.2,XP_005906693.2,XP_070236742.1,XP_070236741.1,XP_070236737.1,XP_070236738.1,XP_070236739.1,XP_070236740.1,XP_005906692.2,XP_070236745.1,XP_070236746.1,XP_005906696.2,XP_005906695.2"
3,40,0.465,"XP_052508669.1,XP_052508671.1,XP_052508667.1,XP_052508668.1","XP_025121934.1,XP_044785151.1,XP_044785150.1,XP_044785147.1,XP_044785146.1,XP_044785145.1,XP_044785144.1,XP_025121922.1,XP_025121933.1,XP_025121930.1,XP_025121929.1,XP_025121928.1,XP_025121927.1,XP_025121926.1,XP_025121925.1,XP_044785149.1,XP_044785148.1","XP_070239563.1,XP_070239578.1,XP_070239579.1,XP_014337607.1,XP_070239576.1,XP_070239577.1,XP_070239575.1,XP_070239574.1,XP_070239573.1,XP_070239572.1,XP_070239571.1,XP_070239569.1,XP_070239568.1,XP_070239567.1,XP_070239566.1,XP_070239565.1,XP_070239564.1,XP_070239562.1,XP_070239581.1"
3,40,0.148,"XP_052497409.1,XP_052497411.1,XP_052497408.1,XP_052497407.1,XP_052497410.1,XP_052497406.1,XP_052497412.1,XP_052497413.1,XP_052497414.1","XP_044797463.1,XP_025139589.1,XP_025139591.1,XP_025139592.1,XP_044797462.1,XP_025139588.1,XP_025139585.1,XP_044797458.1,XP_044797459.1,XP_044797460.1,XP_044797461.1,XP_044797467.1,XP_025139593.1,XP_044797464.1,XP_044797469.1,XP_025139594.1","XP_070226550.1,XP_070226555.1,XP_070226557.1,XP_070226558.1,XP_070226559.1,XP_070226560.1,XP_070226561.1,XP_070226562.1,XP_070226563.1,XP_070226564.1,XP_070226565.1,XP_070226549.1,XP_070226548.1,XP_070226551.1,XP_070226552.1"
3,40,0.121,"XP_052493034.1,XP_052493024.1","XP_044790109.2,XP_044790099.2,XP_044790098.2,XP_044790120.2,XP_044790121.2,XP_044790097.2,XP_044790124.2,XP_044790104.2,XP_044790103.2,XP_044790105.2,XP_044790123.2,XP_044790113.2,XP_044790114.2,XP_044790116.2,XP_044790122.2,XP_044790117.2,XP_044790108.2,XP_044790107.2,XP_044790101.2,XP_044790135.2,XP_044790137.2,XP_044790112.2,XP_044790102.2,XP_044790106.2,XP_044790111.2,XP_044790127.2,XP_044790115.2,XP_044790118.2","XP_070216043.1,XP_070216040.1,XP_070216038.1,XP_070216041.1,XP_070216037.1,XP_070216039.1,XP_070216044.1,XP_070216042.1,XP_070216045.1,XP_070216051.1"
3,40,0.108,"XP_052507024.1,XP_052507026.1,XP_052507023.1,XP_052507021.1,XP_052507022.1,XP_052507025.1,XP_052507027.1","XP_044784142.2,XP_044784140.2,XP_044784123.2,XP_044784153.2,XP_025120452.3,XP_044784121.2,XP_044784135.2,XP_044784130.2,XP_044784139.2,XP_044784141.2,XP_044784128.2,XP_044784133.2,XP_044784132.2,XP_044784127.2,XP_044784124.2,XP_044784126.2,XP_044784125.2,XP_044784145.2,XP_044784131.2,XP_044784144.2,XP_044784154.2,XP_044784134.2","XP_070237067.1,XP_070237065.1,XP_070237060.1,XP_070237063.1,XP_070237061.1,XP_070237064.1,XP_070237062.1,XP_070237068.1,XP_070237066.1,XP_070237069.1,XP_070237070.1"
3,39,0.487,"XP_052516113.1,XP_052516048.1,XP_052516054.1,XP_052516059.1,XP_052516065.1,XP_052516071.1,XP_052516075.1,XP_052516082.1,XP_052516087.1,XP_052516094.1,XP_052516100.1,XP_052516106.1","XP_044792102.2,XP_044792109.2,XP_025130766.3,XP_025130764.3,XP_044792108.2,XP_044792107.2,XP_044792106.2,XP_044792104.2,XP_044792105.2,XP_006059763.3,XP_044792110.2,XP_044792101.2,XP_025130758.3,XP_025130759.3,XP_044792100.2,XP_044792099.2,XP_044792098.2,XP_044792097.2,XP_044792096.2,XP_044792095.2","XP_070219117.1,XP_070219111.1,XP_070219112.1,XP_070219113.1,XP_070219114.1,XP_070219115.1,XP_070219116.1"
3,39,0.359,XP_052504354.1,"XP_044785579.1,XP_045018871.1,XP_025125104.2,XP_044785633.1,XP_044785627.1,XP_044785625.1,XP_044785624.1,XP_044785621.1,XP_044785614.1,XP_044785606.1,XP_044785596.1,XP_044785586.1,XP_044785580.1,XP_044785639.1,XP_044785574.1,XP_044785569.1,XP_044785566.1,XP_044785563.1,XP_044785560.1,XP_044785558.1,XP_044785551.1,XP_044785550.1,XP_044785548.1,XP_044785545.1,XP_044785542.1","XP_070216784.1,XP_070216771.1,XP_070216772.1,XP_070216773.1,XP_070216774.1,XP_070216776.1,XP_070216777.1,XP_070216778.1,XP_070216779.1,XP_070216780.1,XP_070216781.1,XP_070216782.1,XP_070216783.1"
3,38,0.446,"XP_052510689.1,XP_052510695.1,XP_052510690.1,XP_052510694.1,XP_052510691.1,XP_052510693.1,XP_052510692.1,XP_052510688.1","XP_045019039.1,XP_045019050.1,XP_045019048.1,XP_045019044.1,XP_045019041.1,XP_045019040.1,XP_045019037.1,XP_025123581.3,XP_025123583.3,XP_045019042.1,XP_025123577.3,XP_045019046.1,XP_045019043.1,XP_045019047.1,XP_045019045.1,XP_045019049.1,XP_045019052.1","XP_070242419.1,XP_070242418.1,XP_070242416.1,XP_070242425.1,XP_070242423.1,XP_070242422.1,XP_070242417.1,XP_070242413.1,XP_070242414.1,XP_070242415.1,XP_070242420.1,XP_070242424.1,XP_070242426.1"
3,37,0.595,"XP_052494268.1,XP_052494267.1,XP_052494266.1,XP_052494257.1,XP_052494258.1,XP_052494259.1,XP_052494260.1,XP_052494261.1,XP_052494262.1,XP_052494263.1,XP_052494264.1,XP_052494265.1","XP_025128264.2,XP_025128265.2,XP_006048312.2,XP_006048308.2,XP_006048309.2,XP_006048310.2,XP_006048311.2,XP_044790187.1,XP_025128266.2,XP_044790188.1,XP_025128269.2,XP_025128270.2,XP_044790190.1,XP_025128271.2,XP_044790191.1","XP_070216075.1,XP_070216076.1,XP_070216077.1,XP_070216078.1,XP_070216079.1,XP_070216080.1,XP_070216081.1,XP_070216082.1,XP_070216083.1,XP_070216084.1"
3,37,0.486,"XP_052496792.1,XP_052496794.1,XP_052496795.1,XP_052496796.1,XP_052496797.1","XP_006063063.1,XP_006063073.1,XP_006063072.1,XP_006063071.1,XP_006063070.1,XP_006063069.1,XP_006063068.1,XP_006063067.1,XP_006063066.1,XP_006063064.1,XP_025140485.1,XP_006063062.1,XP_006063060.1,XP_045021487.1,XP_044798172.1,XP_044798171.1,XP_044798169.1,XP_025140488.1,XP_025140486.1","XP_070220908.1,XP_070220909.1,XP_070220910.1,XP_070220911.1,XP_070220912.1,XP_070220913.1,XP_070220914.1,XP_070220915.1,XP_070220916.1,XP_070220917.1,XP_070220918.1,XP_070220919.1,XP_070220920.1"
3,37,0.209,"XP_052500171.1,XP_052500172.1","XP_044804023.2,XP_025149218.3,XP_044804024.2,XP_044804025.2,XP_025149219.3,XP_044804022.2,XP_006046843.3,XP_025149216.3,XP_025149215.3,XP_025149213.3,XP_025149212.3,XP_044804026.2,XP_025149211.3,XP_025149209.3,XP_045022640.1,XP_044804027.2,XP_025149210.3","XP_070229837.1,XP_070229838.1,XP_070229839.1,XP_070229840.1,XP_070229841.1,XP_070229834.1,XP_014332180.2,XP_070229836.1,XP_070229832.1,XP_070229833.1,XP_070229831.1,XP_070229828.1,XP_070229830.1,XP_070229842.1,XP_070229829.1,XP_070229845.1,XP_070229843.1,XP_070229844.1"
3,37,0.177,"XP_052493416.1,XP_052493415.1,XP_052493414.1,XP_052493411.1,XP_052493417.1,XP_052493412.1,XP_052493418.1,XP_052493419.1,XP_052493413.1,XP_052493421.1","XP_044800252.1,XP_025143553.1,XP_044800253.1,XP_025143549.1,XP_025143551.1,XP_044800254.1,XP_044800255.1,XP_044800251.1,XP_025143554.1,XP_025143555.1,XP_025143552.1,XP_025143550.1,XP_044800256.1,XP_025143556.1","XP_070223334.1,XP_070223337.1,XP_070223335.1,XP_070223331.1,XP_070223332.1,XP_070223339.1,XP_070223338.1,XP_070223340.1,XP_070223341.1,XP_070223330.1,XP_070223333.1,XP_070223343.1,XP_070223342.1"
3,37,0.16,"XP_052516673.1,XP_052516674.1","XP_044791368.2,XP_044791390.2,XP_044791389.2,XP_044791386.2,XP_044791385.2,XP_044791384.2,XP_044791383.2,XP_044791382.2,XP_044791381.2,XP_044791379.2,XP_044791378.2,XP_044791377.2,XP_044791375.2,XP_044791361.2,XP_044791364.2,XP_044791362.2,XP_044791363.2,XP_044791366.2,XP_044791367.2,XP_044791370.2,XP_044791365.2,XP_044791369.2,XP_044791373.2","XP_070219724.1,XP_070219725.1,XP_070219726.1,XP_070219727.1,XP_070219728.1,XP_070219729.1,XP_070219730.1,XP_070219731.1,XP_070219732.1,XP_070219735.1,XP_070219734.1,XP_070219733.1"
3,37,0.126,XP_052504275.1,"XP_045019380.1,XP_045019376.1,XP_006072929.4,XP_044787856.2,XP_045019373.1,XP_045019375.1,XP_045019369.1,XP_045019367.1,XP_045019366.1,XP_045019370.1,XP_045019368.1,XP_045019382.1,XP_045019377.1,XP_045019378.1,XP_045019381.1,XP_045019372.1,XP_045019371.1,XP_045019374.1,XP_044787834.2,XP_044787840.2,XP_044787810.2","XP_070217491.1,XP_070217490.1,XP_070217488.1,XP_070217489.1,XP_070217484.1,XP_070217480.1,XP_070217498.1,XP_070217485.1,XP_070217481.1,XP_070217483.1,XP_070217479.1,XP_070217482.1,XP_070217486.1,XP_070217478.1,XP_070217487.1"
3,37,0.119,"XP_052518379.1,XP_052518380.1,XP_052518381.1,XP_052518382.1,XP_052518386.1,XP_052518383.1,XP_052518384.1","XP_025142626.2,XP_025142624.2,XP_044799726.2,XP_044799727.2,XP_044799728.2,XP_025142628.2,XP_044799729.2","XP_070216197.1,XP_070216196.1,XP_070216195.1,XP_070216183.1,XP_070216182.1,XP_070216181.1,XP_070216180.1,XP_070216179.1,XP_070216178.1,XP_070216184.1,XP_070216203.1,XP_070216202.1,XP_070216201.1,XP_070216192.1,XP_070216190.1,XP_070216205.1,XP_070216189.1,XP_070216200.1,XP_070216187.1,XP_070216191.1,XP_070216198.1,XP_070216199.1,XP_070216185.1"
3,36,0.309,XP_052492811.1,"XP_044801156.2,XP_044801162.2,XP_044801155.2,XP_044801158.2,XP_044801157.2,XP_044801160.2,XP_044801159.2,XP_044801154.2,XP_044801152.2,XP_044801147.2,XP_044801148.2,XP_044801151.2,XP_044801153.2,XP_044801164.2,XP_044801150.2,XP_044801149.2,XP_044801165.2,XP_044801163.2","XP_070224470.1,XP_070224469.1,XP_070224473.1,XP_070224472.1,XP_070224474.1,XP_070224479.1,XP_070224468.1,XP_070224465.1,XP_070224467.1,XP_070224464.1,XP_070224461.1,XP_070224462.1,XP_070224466.1,XP_070224463.1,XP_070224477.1,XP_070224478.1,XP_070224475.1"
